term_str,vector,x,y,index,n,p,i,n_chars,max_pos,n_pos,cat_pos,dfidf,mean_tfidf
quality,"[ 0.06557006 -0.41915667 -0.4725266   0.4016736  -0.1783123   0.04350891
  0.513065    0.36068538 -0.35239536  0.2900838  -0.34249604 -0.39587486
  0.31812865  0.4390456  -0.5650599  -0.09983578  0.10436902 -0.06145665
 -0.45659682 -0.11598096  0.12594491  0.4656734   0.52438354  0.14938329
  0.63486385 -0.37980905 -0.29780668 -0.12584262 -0.8860696  -0.11363146
 -0.12254459 -0.10968804 -0.09950947  0.3567594  -0.4705114   0.5285615
  0.11209292  0.49722627 -0.00088969 -0.28573647  0.29340073 -0.32365292
 -0.37323678 -0.12433366  0.5083251   0.56212217 -0.123587   -0.33149683
  0.35990912 -0.0585274 ]",-30.709665,16.565584,0,1369,0.0094969857996129,6.718314588267276,7,NN,3,"{'NNS', 'NNP', 'NN'}",22.920115126895368,0.0204225824956474
products,"[ 0.01348228 -0.20026508 -0.39020002  0.23597403 -0.164474   -0.10090903
  0.46754274  0.39163485 -0.30324286  0.22820234 -0.28718886 -0.3282319
  0.3878052   0.3721587  -0.55230063  0.02000397  0.27231202 -0.12331127
 -0.5386452  -0.12255946  0.04215785  0.372767    0.44870448 -0.01386003
  0.47619268 -0.1482     -0.16920786 -0.11557139 -0.68697643 -0.02215016
 -0.00113126 -0.0993176  -0.18504731  0.23936968 -0.45978087  0.4322041
  0.09352898  0.36456656  0.1571418  -0.3435202   0.19654259 -0.23654233
 -0.18718173 -0.10733336  0.54183054  0.3115375  -0.11336543 -0.39104292
  0.27368575 -0.10863452]",-22.988716,16.822636,2,1199,0.0083176668909684,6.909605376110952,8,NNS,4,"{'NNS', 'NNP', 'NN', 'NNPS'}",33.35823821738815,0.0247007257981212
castings,"[-0.14231625 -0.34984565 -0.9033165   0.8217084  -0.04161673  0.28112695
  0.4451527   0.00909809 -0.4063394   0.4366228  -0.644595   -0.43468487
  0.09360534  0.9128671  -0.5587943  -0.18132964 -0.14365703  0.12270633
 -0.10864182  0.30329147  0.3121937   0.6302054   0.45510334  0.2939699
  1.2514677  -0.69227624 -0.57532966 -0.0193082  -1.1249672  -0.17306821
 -0.29413193 -0.30819398 -0.21899334  0.53023887 -0.57048005  0.6511174
  0.201342    0.7248065  -0.15976517 -0.16872913  0.55526274 -0.5812698
 -0.48650023  0.0923424   0.46936134  1.0803573  -0.23953635 -0.52485037
  0.3784285  -0.20636097]",-38.74404,12.683642,1,1228,0.0085188448224431,6.875126474154997,8,NNS,3,"{'NNS', 'NNP', 'NNPS'}",44.74176305701573,0.0568283543000796
customers,"[ 0.08677617 -0.39764294 -0.43540826  0.317884   -0.17421396  0.03654093
  0.47903097  0.3342599  -0.34568015  0.28131112 -0.3534782  -0.3362749
  0.32920957  0.37425086 -0.51589245 -0.06427176  0.12977788 -0.08784857
 -0.4266167  -0.09070852  0.07257377  0.4042717   0.5148655   0.11034299
  0.54030895 -0.34705153 -0.272998   -0.16656294 -0.7771528  -0.11259905
 -0.0680538  -0.0778684  -0.13186185  0.33537576 -0.4438679   0.4899897
  0.06203055  0.46551186  0.04121496 -0.3030077   0.2817321  -0.31159365
 -0.2888324  -0.11688934  0.449865    0.5027975  -0.08554877 -0.3563413
  0.31248075 -0.06198859]",-29.556515,16.580948,13,678,0.0047034012944759,7.732079856388832,9,NNS,3,"{'NNS', 'NNP', 'NNPS'}",38.84066236858,0.0223314976814511
parts,"[-0.03809634 -0.29454994 -0.736303    0.59309775 -0.0346466   0.21619083
  0.45281816  0.15964688 -0.3550891   0.39993113 -0.55306005 -0.36004993
  0.22967756  0.6845797  -0.5262896  -0.1816502  -0.00390867  0.03628794
 -0.24124053  0.11794613  0.15829946  0.5106421   0.42427066  0.18604118
  0.96270126 -0.5732098  -0.4035919  -0.06596749 -1.0019054  -0.13024443
 -0.19109899 -0.19206223 -0.22811589  0.46005505 -0.53193116  0.55634385
  0.11891441  0.6325659  -0.05638979 -0.23929037  0.40581563 -0.4362961
 -0.37271714  0.03237565  0.47993648  0.82923806 -0.2100736  -0.4551216
  0.35752553 -0.17590745]",-36.611755,13.925336,10,743,0.0051543173477811,7.60000291898658,5,NNS,3,"{'NNS', 'NNP', 'NNPS'}",43.013494694202194,0.0301308848162399
com,"[-0.18923642  0.1315848  -0.00526122 -0.6712457  -0.58232504 -1.0335215
  0.2368836   0.8382297  -0.13113196 -0.08584611  0.11892226 -0.19729021
  0.9937328   0.04711909 -0.5294666   0.5573622   1.0438175  -0.3378482
 -1.1845515  -0.5561042  -0.12759943 -0.08379257  0.46291602 -0.5401459
 -0.15976727  0.98710775  0.25474748  0.08248246 -0.3586811   0.17050475
  0.38250217 -0.05992642 -0.57861817 -0.44749853 -0.4204676   0.10904501
  0.0430058  -0.29885367  1.0767398  -1.0529702  -0.38068447  0.07009842
  0.23852777 -0.19840984  0.8533066  -0.9918586   0.2562105  -0.39246225
  0.18004051 -0.27944383]",26.016659,6.7267923,15,648,0.0044952861929504,7.797371316640551,3,NN,2,"{'NNS', 'NN'}",47.213127313667336,0.0343945654255028
information,"[ 0.04985197  0.90892506  0.44581646 -0.4018859  -0.80584526 -1.3196563
  0.43769938  1.1271962  -0.0055942  -0.22286095  0.4001856  -0.28514594
  1.1133577   0.08143186 -0.27610868  0.2723479   1.594071   -0.8022365
 -1.3148059  -0.6122349  -0.49200225 -0.6303523   0.5894462  -0.45215082
 -0.37959787  1.3236735   0.13973276 -0.1789167   0.04538671  0.84505206
  0.5082532  -0.05944958 -0.48784503 -1.0694606  -0.9118063   0.1748293
  0.04705767 -0.00245006  1.2623767  -0.9629653  -0.01882229  0.20843579
  0.3663169  -0.4106609   1.419709   -1.3673676   0.45148042 -0.7859391
 -0.35554883 -0.5012734 ]",30.300863,5.7774954,9,749,0.0051959403680862,7.588399411066425,11,NN,2,"{'NNP', 'NN'}",47.06424670382327,0.0296385759071792
process,"[-7.85594881e-02 -2.95593292e-01 -7.22606122e-01  5.80656767e-01
 -1.04701579e-01  1.60836697e-01  4.28072900e-01  1.36880085e-01
 -3.02757621e-01  3.52654487e-01 -5.33261836e-01 -3.39623004e-01
  2.39939183e-01  6.77342594e-01 -4.56262201e-01 -2.17550084e-01
 -1.52037414e-02  8.38125348e-02 -2.15251252e-01  1.02201857e-01
  1.99517429e-01  4.43489552e-01  4.06248927e-01  2.59293705e-01
  1.00634253e+00 -4.91035998e-01 -4.73577738e-01 -6.87381660e-04
 -1.01658177e+00 -1.05229825e-01 -2.55611092e-01 -1.36280760e-01
 -2.05487147e-01  4.07618374e-01 -5.37826002e-01  5.46813548e-01
  1.47295892e-01  5.95339179e-01 -5.20475134e-02 -2.70451784e-01
  4.04394746e-01 -4.35815811e-01 -3.76470089e-01  2.59247441e-02
  5.13127446e-01  7.44101048e-01 -1.49002790e-01 -4.80466545e-01
  3.35870594e-01 -2.16029868e-01]",-36.796227,14.426787,16,631,0.004377354302086,7.835725124542627,7,NN,2,"{'NNP', 'NN'}",43.013494694202194,0.0220998784835893
casting,"[-0.15143152 -0.376477   -0.9206017   0.7809617  -0.03187843  0.3323624
  0.4401872  -0.00641916 -0.37725016  0.4763637  -0.6751292  -0.39901248
  0.10074384  0.917286   -0.5169132  -0.25279257 -0.18722549  0.16010839
 -0.04403219  0.26749068  0.310905    0.5970246   0.4158109   0.36866274
  1.2511933  -0.7077356  -0.5687889   0.02873759 -1.1590067  -0.1899227
 -0.3165602  -0.23816128 -0.19602668  0.48936278 -0.5496495   0.592157
  0.18571554  0.73495466 -0.20205145 -0.15514259  0.55254287 -0.57288545
 -0.49942076  0.12800646  0.46613705  1.0238959  -0.20654541 -0.49885902
  0.41824126 -0.21979392]",-39.119408,13.4594555,3,1194,0.0082829810407142,6.915634198260371,7,NNP,2,"{'NNP', 'NN'}",45.15449934959718,0.0511217253324943
services,"[ 0.06797409  0.0324104  -0.16871667  0.14216465 -0.26166666 -0.26241502
  0.36798897  0.43128103 -0.2012015   0.09848236 -0.13178597 -0.33059725
  0.48899114  0.36096975 -0.3812458  -0.01117662  0.49058536 -0.18299575
 -0.548228   -0.14266208 -0.05319601  0.12022243  0.38839617 -0.01762397
  0.32165417  0.09477839 -0.14665757 -0.06260417 -0.45527104  0.16485158
  0.0183239  -0.09912279 -0.19523688 -0.08497687 -0.52611786  0.2960988
  0.10254122  0.33896777  0.28387356 -0.3608962   0.1973981  -0.16892804
 -0.07094765 -0.1408122   0.64093375 -0.01963539  0.05616865 -0.40930688
  0.13554254 -0.15111694]",8.959308,4.666109,7,779,0.0054040554696117,7.531741801463506,8,NNS,4,"{'NNS', 'NNP', 'NN', 'NNPS'}",39.28464019302963,0.0249679355371316
