company_num,total_words,total_links
1,2796,26
5,368,9
10,845,11
12,1194,7
14,682,3
15,883,13
22,264,6
37,326,4
43,753,7
44,992,7
49,1577,1
52,752,39
53,1799,11
54,231,3
56,903,7
58,1338,7
63,1243,12
82,1543,7
83,1382,10
92,174,3
94,768,5
96,579,3
97,1678,5
101,587,1
103,1707,10
106,557,3
110,437,3
112,180,6
116,642,5
118,1001,5
119,205,7
123,2760,41
127,184,1
138,151,1
139,344,3
155,331,3
157,2752,13
158,236,3
161,390,3
163,1021,9
165,560,6
167,266,4
169,518,7
171,997,1
179,540,1
186,588,1
188,139,2
199,216,3
209,433,3
212,200,1
214,235,3
217,998,4
225,2348,27
226,192,6
232,144,4
236,700,1
238,1170,3
240,749,3
241,778,4
245,604,2
246,485,66
247,330,7
250,1715,5
254,2870,17
255,986,9
256,489,2
259,846,7
261,588,5
264,276,3
273,231,6
274,679,1
278,596,15
284,1788,42
289,1058,7
308,1496,5
322,1828,6
324,1507,8
326,874,4
330,573,5
334,1026,3
340,2920,20
342,1531,9
344,1105,15
349,2391,24
355,2104,9
362,2602,11
366,365,2
370,1159,6
372,162,1
384,267,5
385,1001,4
387,1975,11
398,523,3
408,1331,4
414,1130,5
424,1578,11
433,2860,13
435,468,4
438,1635,7
448,944,11
449,1698,6
452,1013,30
454,2215,13
456,991,5
457,1975,14
468,318,1
469,167,3
472,909,5
475,2623,59
477,1505,7
478,363,2
479,341,3
480,2604,6
487,2572,16
488,652,3
494,815,6
503,787,9
506,880,2
507,2672,10
514,2144,16
519,549,5
521,197,2
524,436,4
530,199,6
531,1140,5
532,2618,14
535,2149,6
536,2129,10
542,871,6
543,1435,12
549,856,8
552,222,3
557,305,3
562,558,4
570,407,1
573,698,4
574,2701,22
579,1985,6
592,1549,20
595,943,5
599,1075,5
600,855,10
603,720,4
611,584,4
621,1739,10
623,1369,8
628,680,5
633,693,6
645,394,4
646,1874,11
654,812,9
655,408,5
662,140,14
670,1069,4
671,284,4
677,392,5
679,1409,6
682,1475,7
690,952,6
693,1584,15
694,198,1
698,619,4
701,1363,5
703,3201,4
705,1570,5
706,531,1
716,1938,10
718,745,4
726,1617,17
728,459,1
730,341,3
732,509,6
733,1242,6
740,219,1
741,411,1
744,245,2
748,2476,11
750,431,4
753,586,2
756,2034,11
761,616,5
764,1389,10
770,909,9
773,358,4
777,2130,5
781,1427,6
783,744,8
785,390,7
787,1208,6
789,2759,13
790,634,3
792,279,3
799,868,4
801,2435,7
802,1446,11
812,2974,12
814,549,1
817,1204,16
821,2523,3
822,874,3
824,164,2
825,173,3
826,224,8
827,828,10
829,400,2
834,2479,4
835,1367,7
837,274,3
840,775,5
844,2172,6
848,1653,17
849,600,4
854,706,5
858,170,3
859,3120,9
860,1722,4
875,1032,2
876,446,5
877,386,5
879,210,4
886,384,5
889,1129,8
890,251,2
895,810,3
896,1366,15
901,1037,6
903,946,10
904,1456,5
906,292,3
908,896,7
910,1217,2
913,541,4
915,193,1
919,1621,16
921,1311,7
925,314,4
931,1773,6
932,2965,6
937,2228,9
938,1518,3
942,493,4
944,1280,9
946,1830,5
948,1254,9
961,1455,7
963,784,7
969,1468,4
972,859,13
974,1361,13
982,531,4
983,418,3
984,301,1
987,523,4
990,2180,6
991,696,3
994,1538,13
999,885,5
1006,457,4
1007,180,1
1010,372,4
1020,995,8
1025,1713,8
1027,2632,5
1031,2321,10
1037,972,11
1038,1491,15
1039,594,3
1046,698,9
1049,1523,14
1050,255,1
1056,2900,31
1062,2422,15
1063,1489,5
1064,1437,23
1086,1996,9
1105,415,6
1107,334,5
1118,660,4
1123,700,6
1124,1744,7
1126,205,4
1128,2527,7
1132,1005,15
1135,864,3
1142,1761,6
1153,2502,20
1172,630,9
1181,2037,15
1182,1069,2
1186,1827,22
1188,2261,3
1191,2849,17
1203,2521,8
1208,1483,8
1209,977,7
1211,968,7
1212,372,3
1216,1948,9
1219,2084,12
1222,854,3
