company_id,link_num,sent_num,sent_str
1,0,0,"Manufacturer ofMetal FastenersandGeneral Hardware Custom Metal Crafters Waterbury StyleA Division of CMC Specializing in Belt Buckles Custom Metal Crafters, Inc"
1,0,1,"(CMC) specializes in the design, manufacture and sourcing of Buckles, Snaps, Slides, D-Rings, Loops, Fasteners, Ornaments, Chicago Screws, and General Hardware"
1,0,2," Items are available in Zinc, Brass, and Steel and can be made by Die-Casting, Wire Forming, or Stamping"
1,0,3," Most items are made in the USA, are Berry Amendment compliant and Buy American Act complaint"
1,0,4, Ask us aboutCustom Fabricated Partsmade to your specifications
1,0,5, CMCis a wholesale supplier to the OEM market and minimum orders apply
1,0,6, Most items require a minimum pack between 200 and 1000 pieces
1,0,7, Contact us for a list of distributors offering smaller quantities
1,0,8, Waterbury Styleis a division of CMC and offers buckles and accessories for the fashion and apparel industry
1,0,9, These items are available in smaller quantities
1,0,10, Please refer to the specific item in theCatalogorContact Usfor more information
1,0,11, 
1,1,0,404-Page Not Found Please check the URL for proper spelling and capitalization
1,1,1," If you're having trouble locating a destination on our site, try looking on oursitemaporclick herefor the home page"
1,1,2, If you need further assistance please Email us atinfo@custom-metal
1,1,3,com
1,1,4, 
1,2,0,Buckles CMC specializes in design and manufacturing of standard and custom buckles
1,2,1," Available in Zinc, Brass, and Steel and can be made by Die-Casting, Wire Forming, or Stamping"
1,2,2, All of which can be supplied in an assortment of finishes
1,2,3,"  CMC buckles are used in a wide variety of industries including tent & awning, military, medical, harness, equine, pet, luggage, strap, Firefighter equipment, tool belt systems, motorcycle, and fashion"
1,2,4, Most items are made in the USA and are Berry Amendment compliant
1,2,5, We carry a well stocked inventory
1,2,6, Samples upon request
1,2,7, CMC can custom fabricate parts made to your specifications
1,2,8, Z-5 Z-103 103/ST Z-103 HD Z-106 Z-108 Z-109 Z-110 Z-111 Z-112 Z-113 Z-114 114/ST 1114/SB Z-115 Z-117 Z-121 Z-122 Z-125 Z-129 Z-130 Z-131 Z-132 Z-145 Z-147 Z-157 Z-158 1158/ST Z-159 Z-160 Z-161 Z-162 Z-163 Z-165 Z-166 Z-168 Z-170 171/ST Z-172 173/ST Z-899 999W/ST Z-1181 14430/SB Z-4430 Z-9003 
1,3,0,Clasps CMC specializes in design and manufacturing of standard and custom clasps
1,3,1," Available in Zinc, Brass, and Steel and can be made by Die-Casting or Stamping"
1,3,2, All of which can be supplied in an assortment of finishes
