term_str,n,p,i,n_chars,max_pos,n_pos,cat_pos,dfidf,mean_tfidf
quality,1369,0.009496985799612907,6.718314588267276,7,NN,3,"{'NNS', 'NNP', 'NN'}",22.920115126895368,0.02042258249564745
castings,1228,0.008518844822443132,6.875126474154997,8,NNS,3,"{'NNS', 'NNP', 'NNPS'}",44.74176305701573,0.056828354300079695
products,1199,0.008317666890968498,6.909605376110952,8,NNS,4,"{'NNS', 'NNP', 'NN', 'NNPS'}",33.35823821738815,0.024700725798121204
casting,1194,0.008282981040714251,6.915634198260371,7,NNP,2,"{'NNP', 'NN'}",45.15449934959718,0.051121725332494324
contact,944,0.0065486885280018866,7.254578270163335,7,NNP,2,"{'NNP', 'NN'}",35.47536748368121,0.022390188345714598
aluminum,845,0.005861908692967791,7.414413788355629,8,NN,2,"{'NNP', 'NN'}",46.440797170713864,0.04422960648557154
inc,805,0.005584421890933813,7.484376346523197,3,NNP,2,"{'NNP', 'NN'}",47.8689387971583,0.044545119104652316
services,779,0.005404055469611727,7.5317418014635065,8,NNS,4,"{'NNS', 'NNP', 'NN', 'NNPS'}",39.28464019302963,0.024967935537131645
us,760,0.005272249238645587,7.567365711194228,2,NNP,2,"{'NNP', 'NN'}",43.68020353019802,0.027941604487277498
information,749,0.0051959403680862425,7.588399411066425,11,NN,2,"{'NNP', 'NN'}",47.064246703823265,0.02963857590717926
parts,743,0.005154317347781146,7.60000291898658,5,NNS,3,"{'NNS', 'NNP', 'NNPS'}",43.013494694202194,0.030130884816239985
foundry,717,0.00497395092645906,7.651392010823272,7,NNP,3,"{'NNS', 'NNP', 'NN'}",47.78915046168998,0.04896200473948308
product,714,0.004953139416306512,7.657441055496077,7,NN,2,"{'NNP', 'NN'}",43.013494694202194,0.020204106744064167
customers,678,0.004703401294475932,7.732079856388832,9,NNS,3,"{'NNS', 'NNP', 'NNPS'}",38.84066236858,0.022331497681451155
company,651,0.004516097703102996,7.790707586359541,7,NN,2,"{'NNP', 'NN'}",41.163529120048906,0.01994384892116485
com,648,0.0044952861929504475,7.797371316640551,3,NN,2,"{'NNS', 'NN'}",47.213127313667336,0.034394565425502864
process,631,0.004377354302086007,7.835725124542627,7,NN,2,"{'NNP', 'NN'}",43.013494694202194,0.022099878483589304
design,626,0.0043426684518317596,7.847202472592557,6,NN,2,"{'NNP', 'NN'}",43.840136733474544,0.024667720313053944
manufacturing,579,0.004016621459441835,7.95980178153594,13,NN,2,"{'NNP', 'NN'}",42.84015623344976,0.022076078470351278
die,563,0.003905626738628244,8.000230207444947,3,NNP,3,"{'NNS', 'NNP', 'NN'}",44.43626632604169,0.0576579606239416
metal,561,0.003891752398526545,8.005364358916383,5,NN,2,"{'NNP', 'NN'}",47.8454409778996,0.029287401463292173
steel,540,0.0037460718274587067,8.060405722474345,5,NN,2,"{'NNP', 'NN'}",47.92516198954185,0.030240010182051438
cast,534,0.00370444880715361,8.076525387837622,4,NNP,3,"{'NNS', 'NNP', 'NN'}",47.90466998568365,0.02967426551080182
production,532,0.003690574467051911,8.081938884023986,10,NN,2,"{'NNP', 'NN'}",45.28631295980088,0.025593309778843915
customer,526,0.003648951446746814,8.098302330232874,8,NN,2,"{'NNP', 'NN'}",40.9645610558394,0.018664744153907026
service,522,0.0036212027665434164,8.109315322955291,7,NN,2,"{'NNP', 'NN'}",41.55396294368352,0.01930487881474477
industry,514,0.0035657054061366206,8.131596770331297,8,NN,2,"{'NNP', 'NN'}",43.352210908679105,0.018027720541590783
bronze,504,0.003496333705628126,8.159941396025259,6,NNP,3,"{'NNS', 'NNP', 'NN'}",43.83363925691298,0.04322890176619206
alloys,491,0.003406150494967083,8.197642105210482,6,NNS,3,"{'NNS', 'NNP', 'NN'}",47.56390348398151,0.032823432133386704
site,490,0.0033992133249162336,8.200583380522605,4,NN,2,"{'NNP', 'NN'}",46.665561098944146,0.029652719697792793
industries,482,0.003343715964509438,8.224331983295214,10,NNS,3,"{'NNS', 'NNP', 'NNPS'}",47.52640521395075,0.026124622982498277
email,476,0.0033020929442043414,8.242403556217232,5,NNP,2,"{'NNP', 'NN'}",47.916837669695425,0.02726455514901662
machining,467,0.003239658413746696,8.269942579815513,9,NN,2,"{'NNP', 'NN'}",47.75280104064451,0.030669690442394912
rights,465,0.0032257840736449974,8.276134413529782,6,NNS,3,"{'NNS', 'NNP', 'NNPS'}",46.05953510312202,0.03172440024626683
years,463,0.0032119097335432984,8.282352936264939,5,NNS,2,"{'NNS', 'NNP'}",39.93277493094415,0.015022223410156783
s,447,0.003100915012729707,8.333090298341858,1,NN,3,"{'NNS', 'NNP', 'NN'}",47.213127313667336,0.019682241177069085
time,439,0.0030454176523229113,8.359144189989818,4,NN,2,"{'NNP', 'NN'}",42.66418566881482,0.015028921086343768
website,439,0.0030454176523229113,8.359144189989818,7,NN,2,"{'NNP', 'NN'}",42.94024196708962,0.03382906569279374
business,438,0.0030384804822720618,8.362434259924003,8,NN,2,"{'NNP', 'NN'}",44.88220534978326,0.01936786354929656
brass,438,0.0030384804822720618,8.362434259924003,5,NNP,2,"{'NNP', 'NN'}",42.94024196708962,0.03829030437077526
