company_num,Text,characters,words
1,"Manufacturer ofMetal FastenersandGeneral Hardware Custom Metal Crafters Waterbury StyleA Division of CMC Specializing in Belt Buckles Custom Metal Crafters, Inc.(CMC) specializes in the design, manufacture and sourcing of Buckles, Snaps, Slides, D-Rings, Loops, Fasteners, Ornaments, Chicago Screws, and General Hardware. Items are available in Zinc, Brass, and Steel and can be made by Die-Casting, Wire Forming, or Stamping. Most items are made in the USA, are Berry Amendment compliant and Buy American Act complaint. Ask us aboutCustom Fabricated Partsmade to your specifications. CMCis a wholesale supplier to the OEM market and minimum orders apply. Most items require a minimum pack between 200 and 1000 pieces. Contact us for a list of distributors offering smaller quantities. Waterbury Styleis a division of CMC and offers buckles and accessories for the fashion and apparel industry. These items are available in smaller quantities. Please refer to the specific item in theCatalogorContact Usfor more information. ",1025,150
1,"404-Page Not Found Please check the URL for proper spelling and capitalization. If you're having trouble locating a destination on our site, try looking on oursitemaporclick herefor the home page. If you need further assistance please Email us atinfo@custom-metal.com. ",269,39
1,"Buckles CMC specializes in design and manufacturing of standard and custom buckles. Available in Zinc, Brass, and Steel and can be made by Die-Casting, Wire Forming, or Stamping. All of which can be supplied in an assortment of finishes.  CMC buckles are used in a wide variety of industries including tent & awning, military, medical, harness, equine, pet, luggage, strap, Firefighter equipment, tool belt systems, motorcycle, and fashion. Most items are made in the USA and are Berry Amendment compliant. We carry a well stocked inventory. Samples upon request. CMC can custom fabricate parts made to your specifications. Z-5 Z-103 103/ST Z-103 HD Z-106 Z-108 Z-109 Z-110 Z-111 Z-112 Z-113 Z-114 114/ST 1114/SB Z-115 Z-117 Z-121 Z-122 Z-125 Z-129 Z-130 Z-131 Z-132 Z-145 Z-147 Z-157 Z-158 1158/ST Z-159 Z-160 Z-161 Z-162 Z-163 Z-165 Z-166 Z-168 Z-170 171/ST Z-172 173/ST Z-899 999W/ST Z-1181 14430/SB Z-4430 Z-9003 ",917,145
1,"Clasps CMC specializes in design and manufacturing of standard and custom clasps. Available in Zinc, Brass, and Steel and can be made by Die-Casting or Stamping. All of which can be supplied in an assortment of finishes. CMC clasps are used in a wide variety of industries including tent & awning, military, medical, harness, equine, pet, luggage, strap, Firefighter equipment, tool belt systems, motorcycle, and fashion. Most items are made in the USA and are Berry Amendment compliant. We carry a well stocked inventory. Samples upon request. CMC can custom fabricate parts made to your specifications. Z-300 Z-301 Z-309 Z-312 Z-318 Z-327 Z-328 346/ST 346/206ST ",664,105
1,"Loop-Rings CMC specializes in design and manufacturing of standard and custom loop rings. Available in Zinc, Brass, and Steel and can be made by Die-Casting, Wire Forming, or Stamping. All of which can be supplied in an assortment of finishes.  CMC loop rings are used in a wide variety of industries including tent & awning, military, medical, harness, equine, pet, luggage, strap, Firefighter equipment, tool belt systems, motorcycle, and fashion. Most items are made in the USA and are Berry Amendment compliant. We carry a well-stocked inventory. Samples upon request. CMC can custom fabricate parts made to your specifications. Z-038 Z-108-Loop 415W/ST 416W/ST 417W/ST 428W/ST 595/ST Z-600 Z-601 Z-603 Z-604 Z-606 Z-608 609/ST 610W/ST 611W/ST 612W/ST 615W/ST 617/ST Z-619 690W/ST 699/ST 3610/SB 3610/ST ",808,123
1,"Snaps CMC specializes in design and manufacturing of standard and custom snaps. Available in Zinc die cast, Steel, and wire steel. Snaps are manufactured in three forms stamped, wire formed, and die cast.  All of which can be supplied in an assortment of finishes.  CMC snaps are used in a wide variety of industries including tent & awning, military, medical, harness, equine, pet, luggage, strap, Firefighter equipment, tool belt systems, motorcycle, and fashion. Most items are made in the USA and are Berry Amendment compliant. We carry a well-stocked inventory. Samples upon request. CMC can custom fabricate parts made to your specifications. Z-017 Z-027/T Z-027/S 142/ST 142/SST 142HW/ST Z-225 Z-235 Z-701 Z-703 Z-704 Z-705/S Z-706/R Z-706/O Z-706/T Z-706/S Z-707 Z-709/R Z-709/T Z-709/S Z-710/R Z-710/S Z-711 Z-712/R Z-712/O Z-712/T Z-712/S Z-713 Z-714 Z-715 Z-716/R Z-716/O Z-717/R Z-717/T 718/ST Z-721/R Z-721/T Z-721/S Z-722/R Z-722/T Z-722/S Z-723 Z-724 725/ST Z-730/R Z-730/S Z-750 Z-830/R Z-848/S Z-5013/R Z-5013/O Z-5013/T Z-5013/S Z-5025/R Z-5025/O Z-5025/T Z-5025/S Z-5035/R Z-5035/O Z-5035/T Z-5035/S 5258/ST 5259/ST ",1135,165
1,"Chains CMC specializes in design and manufacturing of standard and custom chains assemblies. Available in Zinc die cast, Steel and wire steel. All of which can be supplied in bright brass or nickel finish. CMC Chain assemblies are used in a wide variety of industries including tent & awning, military, medical, harness, equine, pet, luggage, strap, Firefighter equipment, tool belt systems, motorcycle and fashion. 38/ST 1660/ST 40/ST-SB 1038 Curb Chain 1318 Curb Chain ",471,73
1,"Waterbury Style Buckles CMC offers their exclusive line of Waterbury Style buckles and belt loops. Casual center bar belt buckles, casual end bar belt buckles, casual belt loops, plaque and classic western, solid brass harness belt buckles.. Available in Zinc, Brass, and Steel and can be made by Die-Casting, Wire Forming, or Stamping. All of which can be supplied in an assortment of finishes. Most items are made in the USA and are Berry Amendment compliant. We carry a well-stocked inventory. Samples upon request. CMC can custom fabricate parts made to your specifications. Casual - Center Bar Belt Buckles Casual - End Bar Belt Buckles Casual - Belt Loops Plaque/Classic Western Solid Brass Harness Belt Buckles ",718,116
1,Casual - End Bar Belt Buckles WS-2855 Cast Buckle WS-3074 Cast Buckle WS-3389 Cast Buckle WS-4278 Cast Buckle WS-4297 Cast Buckle WS-4492 Cast Buckle WS-24483 Cast Buckle ,171,27
1,Plaque/Classic Western WS 3380 WS 3425 WS 3764 WS 3242 WS 4740 WS 4837 WS 4847 WS 4848 WS 4853 WS 4854 WS 4858 WS 4860 WS 4862 ,127,28
1,"Manufacturer ofMetal FastenersandGeneral Hardware About Custom Metal Crafters, Inc. Since 1972,Custom Metal Crafters, Inc.(CMC) has pioneered and specialized in the design, manufacture and sourcing of buckles, snaps, slides, d-rings, loops, fasteners, ornaments, Chicago screws and general hardware. We can also create custom designed parts to your specifications. We are constantly striving to achieve our high standards and are dedicated to meeting the specific needs of our customers. Our manufacturing facility and main warehouse are located in Newington, Connecticut. We also have satellite warehouses in Southern California and Seattle to service your distribution needs. CMC’s products are available in a variety of metals, including: zinc die-cast, steel and solid brass - all of which can be supplied in an assortment of finishes. To accomplish this, we utilize advanced manufacturing equipment, such as high capacity die cast machines and automated plating lines. Our dedicated staff insures that each step of the process satisfies our quality requirements. Most recently CMC has completed the merger with Waterbury Style, offering a full line of buckles and fasteners for the fashion industry. Custom Metal Crafters services many industries including tent & awning, military, medical, harness, equine, pet, luggage, strap, motorcycle and now fashion. PleaseContact Usto discuss your specific needs.  ",1411,203
1,Manufacturer ofMetal FastenersandGeneral Hardware Sales Office Phone:860.953.4210Fax:860.953.1746Email:info@custom-metal.com SALES REP. LOCATIONS: ArizonaCaliforniaColoradoNevadaUtah IdahoOregonWashingtonBritish Columbia ,221,13
1,Request Information Enter your comments/questions and click Submit to send us an email. ,88,13
